id,name,topicId
386,Standing Waves,690
383,Speed of Sound,690
382,Pressure Wave in Sound,690
385,Beats,690
394,Relation between Field & Potential,692
403,Energy of Dipole in an External Field,692
397,Electrostatic Shielding,692
398,Capacitance,692
3714,Circulatory Pathways,710
3704,Frogs: Morphology,707
3706,Frogs: Anatomy (Circulatory System),707
3708,Frogs: Anatomy (Nervous System),707
3710,Frogs: Anatomy (Male Reproductive System),707
3711,Frogs: Anatomy (Female Reproductive System),707
324,Gravitational Field,682
118,Important Ores of S block Elements,654
746,Respiratory System: Regulation of Respiration,709
2648,General Design of an rDNA experiment,639
317,Rotational Motion: Kinematics,681
405,Derivation of Ohm's Law,693
353,Wien's Displacement Law,686
94,"Ionisation Constant of Acid, Base & Salt",651
97,Buffer,651
98,Salt Hydrolysis & Titration,651
490,Introduction & Growth as Criterion for Being Living (OLD NCERT),622
93,Le Chatelier's principle ,651
92,"Kp, Kc & Factors Affecting them ",651
95,Acids & Bases - Definitions & Classification,651
96,pH calculation,651
284,Instantaneous Speed & Instantaneous Velocity,677
295,Circular Motion,678
465,Interference vs Diffraction,700
481,Nuclear Energy,703
306,Non Uniform Vertical Circular Motion,679
314,Power,680
313,Elastic Potential Energy,680
327,Gravitational Potential Energy,682
4338,Some More Criteria for Congruence of Triangles,5318
4339,Properties of a Parallelogram,6392
488,Applications of Transistor (OLD NCERT),704
412,Wheatstone Bridge,693
244,"Dichloromethane, Trichloromethane & Tetrachloromethane",668
415,Magnetic Field due to various cases,694
489,Logic gates,704
487,Transistor (OLD NCERT),704
408,EMF & Terminal Voltage,693
409,Grouping  of Cells,693
479,Radioactivity (OLD NCERT),703
407,Colour Coding of Resistors (OLD NCERT),693
102,Introduction to Redox and Oxidation Number,652
413,Meter Bridge & Potentiometer,693
108,Redox Titration &  Type of Redox,652
105,Application of Electrode Potential,652
417,Lorentz Force,694
416,Ampere Circuital Law,694
422,Moving Coil Galvanometer,694
414,Biot-Savart Law,694
4340,The Mid-point Theorem,6392
426,Bar Magnet,695
4341,Introduction,6393
4342,Figures on the same Base and between the same Parallels,6393
478,Mass-Energy Equivalent,703
4343,Parallelograms on the same Base and between the same Parallels,6393
423,Conversion to Ammeter & Voltmeter,694
480,Types of Decay,703
431,Magnetic Flux,696
432,Faraday's Law & Lenz Law,696
418,Cyclotron (OLD NCERT),694
78,van der Waal’s Correction,649
482,Energy Band theory,704
483,Types of Semiconductors,704
484,PN junction,704
3918,Introduction,6385
3919,Irrational Numbers,6385
485,Applications of PN junction,704
1759,Restriction Enzymes - Main Enzymes,639
495,Taxonomy 3: From Family to Classification of Some Organisms,622
238,"VBT, CFT & their Limitations",667
506,Kingdom Monera: Bacterial Classification,623
505,Kingdom Monera: Bacterial Life Process,623
504,Kingdom Monera: Bacterial Recombination,623
503,Kingdom Monera: Bacterial Reproduction,623
502,Kingdom Monera: Surface Appendages,623
501,Kingdom Monera: Bacterial Cell Structure,623
500,Kingdom Monera: Introduction,623
424,Analogy between Electrostatics & Magnetostatics,695
486,Rectifier,704
494,Taxonomy 2: Classification up to Genus,622
3707,Frogs: Anatomy (Respiratory System),707
121,Biological Importance of S Block Elements and & Its Ore,654
3709,Frogs: Anatomy (Excretory System),707
499,Different Classification Systems,623
3713,Summary - Structural Organisation in Animals,707
3712,How Frogs are Beneficial for Mankind?,707
425,Magnetic Field & Field Lines,695
428,Magnetization & Magnetic Intensity,695
338,Archimedes' Principle,685
449,Generation of EM Waves,698
444,AC Generator,697
457,Human Eye,699
447,Maxwell's Equations,698
471,Particle Nature of Light,701
516,Kingdom Fungi: Deuteromycetes,623
517,Kingdom Fungi: Zygomycetes,623
518,Kingdom Fungi: Ascomycetes,623
519,Kingdom Fungi: Basidomycetes,623
520,Mycorrhiza,623
590,Activity of Vascular Cambium (OLD NCERT),626
596,Compound & Specialised Epithelium,707
524,Algae,624
576,Meristematic Tissue: Shoot Apex (OLD NCERT),626
569,Fruits & their Types,625
528,Pheophyceae: Brown Algae,624
529,Rhodophyceae: Red Algae and Importance of Algae,624
530,Bryophytes,624
531,Bryophytes (Liverworts),624
532,Bryophytes (Anthoceropsida),624
533,Pteridophytes: Heterospory,624
507,Kingdom Monera: Actinomycetes & Mycoplasma,623
575,Meristematic Tissue:Classification (OLD NCERT),626
538,Examples of Gymnosperms,624
456,Lens Makers' Formula,699
498,Systematics & Type study,622
543,Phylum Porifera,706
544,Phylum Coelenterata,706
545,Phylum Ctenophora & Platyhelminthes,706
546,Phylum Aschelminthes,706
547,Phylum Annelida,706
548,Phylum Arthropoda,706
549,Phylum Mollusca,706
550,Phylum Echinodermata,706
551,Phylum Hemichordata,706
552,Phylum Chordata,706
563,"Venation, Types of Leaves & Phyllotaxy",625
554,Comparative study of Cartilagenous & Bony Fishes,706
555,Study of Amphibians,706
556,Study of Reptilia,706
557,Study of Aves & Mammals,706
558,Morphology of Roots,625
559,Modification of Roots,625
560,Morphology of Stems,625
561,Aerial Stem Modification,625
562,Morphology of Leaf,625
577,Meristematic Tissue: Root Apex (OLD NCERT),626
564,Modification of Leaf,625
565,Inflorescence,625
3920,Real Numbers and their Decimal Expansions,6385
570,Seed,625
571,Semi Technical Description,625
3921,Operations on Real Numbers,6385
3922,Laws of Exponents for Real Numbers,6385
3923,Introduction,5314
290,Position & Displacement,678
578,Simple Tissue: Parenchyma,626
579,Simple Tissue: Chollenchyma & Sclerenchyma,626
580,Complex Tissue: Xylem,626
581,Complex Tissue: Phloem,626
582,Epidermal Tissue System,626
583,Vascular Tissue System,626
584,Ground Tissue System,626
585,Anatomy of Root,626
586,Dicot Stem,626
587,Monocot Stem,626
588,Dicot Leaf,626
589,Monocot Leaf,626
3924,Polynomials in One Variable,5314
3925,Zeroes of a Polynomial,5314
592,Activity of Cork Cambium,626
3926,Factorisation of Polynomials,5314
594,Introduction to Animal & Epithelium Tissue,707
595,Simple Epithelium,707
3927,Algebraic Identities,5314
597,Glandular Epithelium & Cell Junction,707
598,Connective Tissue,707
521,"Virus, Viroids & Prions",623
600,Cardiac Muscle & Smooth Muscle,707
601,Nervous Tissue,707
3928,Introduction,5319
3929,Cartesian System,5319
3930,Introduction,6388
508,Kingdom Monera: Blue Green Algae,623
474,Various Atomic Models,702
847,Introduction,715
1824,"Hormones of Heart, Kidney and Gastrointestinal Tract",714
513,Kingdom Protista: Slime Moulds,623
512,Kingdom Protista: Euglenoids,623
511,Kingdom Protista: Dinoflagellates,623
514,Kingdom Fungi: Introduction,623
515,Kingdom Fungi: Sexual Reproduction in Fungi,623
3931,Linear Equations,6388
674,Mineral Deficiency & Toxicity,631
812,Basic Anatomy of Human Eye: 1 (OLD NCERT),713
3932,Solution of a Linear Equation,6388
3933,Introduction,6389
3934,"Euclid's Definitions, Axioms and Postulates",6389
607,Cockroach: Respiratory System,707
609,Cockroach: Solved Examples,707
476,Spectral Series,702
615,Introduction to Botany,627
616,Introduction to Cell,627
617,Cell Theory,627
618,Cell Organisation,627
619,Prokaryotic Cell Organisation,627
620,Details of Prokaryotic Cell Structure,627
621,Bacterial Staining & Shape,627
470,Einstein's Photoelectric Equation,701
623,Eukaryotic Cell Orgenelle,627
624,Cell Wall,627
625,Cell Membrane,627
626,Evidence for Fluidic Nature of  Membrane,627
627,Plastids,627
628,Mitochondria,627
630,Endomembrane System,627
631,Golgi Apparatus,627
632,Lysosomes,627
633,Nucleus,627
634,Nucleus: Chromosomes,627
635,Vacuole,627
636,Cytoskeleton,627
637,Centrosomes,627
638,Cilia & Flagella,627
639,Microbodies,627
652,Intro to Cell Cycle & Interphase,629
653,Cell Division: Mitosis (Karyokinesis),629
654,Cell Division: Mitosis (Cytokinesis),629
655,Cell Cycle: Meiosis I,629
656,Cell Cycle: Meiosis II,629
657,Introduction,630
658,Diffusion,630
659,Membrane Transport,630
660,Osmosis,630
661,Plasmolysis,630
662,Water Potential Concept,630
663,Water Absorption,630
664,Radial Transport,630
665,Ascent of Sap,630
666,Transpiration & Guttation,630
667,Phloem Translocation: Short Distance Transport,630
668,Phloem Translocation,630
622,Eukaryotic Cell Architecture: Types,627
670,Imbibition,630
671,Introduction,631
672,Criteria for Essentiality of Elements,631
673,Hydroponics & Aeroponics,631
477,Nuclear Binding Energy,703
675,Mineral Function,631
676,Nitrogen Nutrition in Plants,631
677,Nitrogen Fixation,631
678,Nodule formation,631
679,Genetics & Biochemistry of Nitrogen Fixation,631
680,Ammonia Assimilation & Nitrogen Export,631
4344,Triangles on the same Base and between the same Parallels,6393
682,Introduction,632
683,Historical View: Experiments,632
684,Chloroplast Structure,632
685,Photosynthetic Pigments,632
686,Redtrop Experiment,632
687,Emerson's Enhancement Experiment,632
688,Photosystems,632
689,Light Reaction: Electron Transport,632
691,Dark Reaction: Biosynthetic Phase,632
692,Dark Reaction : Calvin Cycle,632
694,C4 Cycle (Hatch & Slack Pathway),632
695,C4 Plants Examples,632
697,CAM Pathway,632
698,Photorespiration,632
700,Factors Affecting Photosynthesis,632
701,Introduction,633
702,Glycolysis,633
703,Glycolysis Regulation,633
704,Fermentation,633
705,Aerobic Respiration,633
706,Kreb's Cycle,633
707,Amphibolic Nature of Respiration,633
708,Oxidative Phosphorylation,633
709,Electron Transport Inhibitors,633
710,Respiratory Quotient,633
711,Growth,634
642,Nucleic Acid: Nucleotides,628
641,Nucleic Acid,628
643,The DNA,628
644,Amino Acids,628
645,Proteins,628
647,Lipids,628
648,Enzymes,628
649,Enzymes Classification,628
650,Enzyme Catalysis,628
651,Factors Affecting Enzyme Catalysis Reaction,628
629,Intro to Endomembrane System: Endoplasmic Reticulum,627
713,Growth Terminology,634
714,Development,634
715,Growth Hormones & Auxin,634
298,Newton's Laws,679
717,Gibberellin,634
718,Cytokinin,634
719,Ethylene,634
720,Abscisic Acid,634
4345,Angle Subtended by a Chord at a Point,5322
4346,Perpendicular from the Centre to a Chord,5322
723,Introduction to Digestive System,708
724,Alimentary Canal: Oral Cavity & Teeth,708
726,Histology of Gut,708
727,Peristalsis: Gland in Alimentary Canal,708
728,Accessory Digestive Glands,708
305,Spring Force,679
730,Digestive Secretions: Saliva,708
731,Gastric Secretions,708
732,Bile,708
733,Pancreatic Secretions,708
734,Intestinal Secretions,708
736,Absorption: Part 1,708
764,Regulation of  Cardiac Activity,710
760,Rhythmic Excitation of Human Heart: Part 2,710
740,Respiratory System: Trachea & Basic Anatomy of Lung,709
721,Photoperiodism (OLD NCERT),634
742,Respiratory System: Pulmonary Volumes & Capacities,709
743,Respiratory System: Exchange of Gases,709
759,Rhythmic Excitation of Human Heart: Part 1,710
805,Motor Functions of Spinal Cord,713
757,Human Heart: Double Circulation,710
467,Polarization of Light,700
748,Respiratory Disorders: Part 2,709
747,Respiratory Disorders: Part 1,709
752,Blood: White Blood Cells,710
753,"Blood: Blood Group (A,B,O)",710
754,Blood: Blood Group,710
755,Blood: Blood Clotting,710
756,Human Heart: Gross Anatomy,710
741,Respiratory System: Pulmonary Ventilation,709
758,Human Heart: Cardiac Cycle,710
761,ECG & Coronary Artery Disease,710
765,Nitrogenous Excretory Products,711
766,Osmoregulation,711
767,Human Kidney: Functions,711
768,Human Kidney: Location & Cut Section,711
769,Nephron Part 1,711
770,Nephron Part 2,711
445,DC Generator & Motor (OLD NCERT),697
773,Formation of Urine,711
776,Autoregulation of GFR,711
777,Micturition Reflex,711
778,CRF & Hemodialysis,711
779,Introduction to Locomotion,712
780,Skeletal Muscle: Basic Anatomy,712
781,Skeletal Muscle: Myofilaments,712
782,Skeletal Muscle: Sarcomere,712
783,Excitation Contraction Coupling I,712
784,Excitation Contraction Coupling II,712
785,Sliding Filament Theory,712
786,Energy for Muscle Contraction,712
787,Muscle Contraction: Other Considerations,712
788,"Human Skeleton: Introduction, Function, Parts",712
789,Number of Bone in Axial Skeleton,712
790,Number of Bone in Appendicular Skeleton,712
793,Vertebral column,712
362,Heat Engine & Refrigerator (OLD NCERT),687
795,Appendicular Skeleton: Upper Limb,712
796,Appendicular Skeleton,712
797,Appendicular Skeleton: Girdle,712
798,Fibrous & Catilaginous Joints,712
799,Synovial Joint,712
800,Nervous System,713
801,Origin of Resting Membrane Potential,713
802,Action Potential,713
803,Synapse,713
804,Neuroanatomy,713
435,Mutual Inductance,696
806,Hind & Mid Brain,713
807,Diencephalon,713
808,"Cerebrum, EEG & Sleep",713
809,"Meninges, Ventricles & CSF",713
468,Electron Emission,701
472,De-broglie Wavelength,701
725,Swallowing: Histology of Gut,708
722,Vernalization (OLD NCERT),634
749,Respiratory  Disorders - III,709
469,Photoelectric Effect: Experiment,701
1856,Disorders of Muscular and Skeletal System,712
473,Davisson & Germer Experiment (OLD NCERT),701
794,Sternum & Ribs,712
729,Movement of Food in Gut,708
475,Bohr's Model of Atom,702
716,Auxin Function,634
437,Eddy Current,696
821,Smell & Taste (OLD NCERT),713
820,Inner Ear: Cochlea (OLD NCERT),713
818,Outer & Middle Ear (OLD NCERT),713
817,Extra Ocular Muscles & Optic Nerve (OLD NCERT),713
816,Human Eye: Adaptation (OLD NCERT),713
813,Basic Anatomy of Human Eye: 2 (OLD NCERT),713
915,Sex Determination: Further Considerations,636
914,Sex Determination ,636
461,Huygens' Principle,700
4347,Equal Chords and their Distances from the Centre,5322
826,Adenohypophysis & Hypothalamus,714
827,Human Growth Hormone,714
828,Prolactin & Posterior Pituitary,714
829,Thyroid Gland Part I,714
830,Thyroid Gland Part II,714
831,Parathyroid,714
832,Adrenal Medulla,714
913,Recombination & Gene Mapping,636
834,Pineal Gland,714
835,Thymus,714
836,Misc. Hormones,714
837,Gastrointestinal Hormones,714
4348,Angle Subtended by an Arc of a Circle,5322
884,"Hormonal Contraceptives, Emergency Contraception & Terminal Methods",717
910,Linkage Types,636
841,Mechanism of Hormone Action,714
1889,Transforming Plant & Animal Cell,639
848,Monocarpic & Polycarpic,635
849,Stamen: Anther,635
850,Stamen: Microsporangium,635
851,Stamen: Male Gametophyte,635
852,Pistil: Ovule,635
853,Pistil: Female Gametophyte,635
854,Pollination & Outbreeding Devices,635
855,Post Pollination Events,635
856,Double Fertilization,635
857,Endosperm,635
858,Embryo,635
859,Seed,635
860,Apomixis & Polyembryony,635
861,Fruit,635
862,Introduction,716
863,Sex Determination in Humans,716
864,Male Reproductive System,716
865,Basic Anatomy of Testis,716
866,Seminiferous Tubules & Spermatogenesis,716
